epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7473,1.8152,4.05423,1.54476,0.83637,0.05271,0.09809,0.06013,1.31011,3.35472,1.25763,1.155e-05,1.155e-05,1.155e-05
2,21.623,1.67378,3.96043,1.47105,0.84261,0.06276,0.11646,0.07345,1.23457,3.19265,1.20846,2.64164e-05,2.64164e-05,2.64164e-05
3,31.4834,1.38512,3.53378,1.3229,0.50072,0.11842,0.14998,0.10157,1.12698,2.91789,1.1487,4.06729e-05,4.06729e-05,4.06729e-05
4,41.3801,1.23483,3.18726,1.22796,0.33011,0.26977,0.19416,0.13204,1.06565,2.56288,1.1296,5.43196e-05,5.43196e-05,5.43196e-05
5,51.4782,1.1011,2.72469,1.14454,0.63363,0.18722,0.24694,0.16683,1.11815,2.3929,1.15158,6.73565e-05,6.73565e-05,6.73565e-05
6,61.4151,1.04738,2.4263,1.12829,0.79026,0.26572,0.3001,0.19955,1.16419,2.2061,1.15721,7.97836e-05,7.97836e-05,7.97836e-05
7,71.3971,1.00954,2.08962,1.10728,0.84214,0.27242,0.32499,0.22411,1.11561,2.06683,1.11165,9.16007e-05,9.16007e-05,9.16007e-05
8,81.2575,1.01101,1.87426,1.09703,0.82693,0.32599,0.35193,0.25651,0.95988,1.76145,1.04247,0.000102808,0.000102808,0.000102808
9,91.1649,0.98342,1.66889,1.0685,0.69492,0.43825,0.44416,0.3323,0.85394,1.50089,1.01915,0.000113406,0.000113406,0.000113406
10,100.938,0.91483,1.43371,1.07444,0.64665,0.55673,0.50606,0.38566,0.83539,1.3727,1.02608,0.000123393,0.000123393,0.000123393
11,110.713,0.91038,1.43591,1.06611,0.58049,0.56138,0.54745,0.42303,0.83747,1.26032,1.0266,0.000132771,0.000132771,0.000132771
12,120.522,0.84123,1.30066,1.04686,0.90598,0.41997,0.63045,0.48147,0.84993,1.27787,1.02839,0.000141539,0.000141539,0.000141539
13,130.601,0.88203,1.20543,1.04564,0.81829,0.47821,0.65562,0.49875,0.87968,1.37732,1.03827,0.000149697,0.000149697,0.000149697
14,140.646,0.90109,1.17885,1.05074,0.86311,0.50811,0.68218,0.52282,0.87499,1.29078,1.03119,0.000157246,0.000157246,0.000157246
